variable_name,units,value,data_reference
R_pvn,Js_per_m6,1.333e+6,Blanco_2013_Table_8
C_pvn,m6_per_J,0.60015e-8,to_be_identified
u_ext_pvn,J_per_m3,0,user_defined
I_pvn,Js2_per_m6,1.0e-6,Blanco_2013_Table_8
q_C_init_pvn,m3,1e-4,user_defined
q_us_0_pvn,m3,0,user_defined
Delta_q_us_pvn,m3,0,user_defined
R_par,Js_per_m6,10.664e+6,Blanco_2013_Table_8
C_par,m6_per_J,0.0309077e-8,to_be_identified
u_ext_par,J_per_m3,0,user_defined
I_par,Js2_per_m6,1.0e-6,Blanco_2013_Table_8
R_pcap,Js_per_m6,1.00E-12,small_chosen
C_pcap,m6_per_J,1.00E-12,small_chosen
u_ext_pcap,J_per_m3,0,user_defined
I_pcap,Js2_per_m6,1.00E-06,small_chosen
rho,Js2_per_m5,1050,known
T,second,1.039583333,biobeat_measurement
q_ra_us,m3,4.0e-6,Korakianitis_2006_Table_1
q_rv_us,m3,10.0e-6,Korakianitis_2006_Table_1
q_la_us,m3,4.0e-6,Korakianitis_2006_Table_1
q_lv_us,m3,5.0e-6,Korakianitis_2006_Table_1
q_ra_init,m3,4.0e-6,Korakianitis_2006_Table_1
q_rv_init,m3,10.0e-6,Korakianitis_2006_Table_1
q_la_init,m3,4.0e-6,Korakianitis_2006_Table_1
q_lv_init,m3,200,09_06_2024_identified
T_ac,second,0.073958333,biobeat_measurement
T_ar,second,0.073958333,biobeat_measurement
t_astart,second,0.891666667,biobeat_measurement
T_vc,second,0.4,user_defined
T_vr,second,0.207916667,biobeat_measurement
t_vstart,second,0,Liang_2009_Table_2
E_ra_A,J_per_m6,7.998e+6,Liang_2009_Table_2
E_ra_B,J_per_m6,9.331e+6,Liang_2009_Table_2
E_rv_A,J_per_m6,73.315e+6,Liang_2009_Table_2
E_rv_B,J_per_m6,6.665e+6,Liang_2009_Table_2
E_la_A,J_per_m6,9.331e+6,Liang_2009_Table_2
E_la_B,J_per_m6,11.997e+6,Liang_2009_Table_2
E_lv_A,J_per_m6,40,09_06_2024_identified
E_lv_B,J_per_m6,30,09_06_2024_identified
K_vo_trv,m3_per_Js,0.3,Mynard_2012
K_vo_puv,m3_per_Js,0.2,Mynard_2012
K_vo_miv,m3_per_Js,0.3,Mynard_2012
K_vo_aov,m3_per_Js,0.04,to_be_identified
K_vc_trv,m3_per_Js,0.4,Mynard_2012
K_vc_puv,m3_per_Js,0.2,Mynard_2012
K_vc_miv,m3_per_Js,0.4,Mynard_2012
K_vc_aov,m3_per_Js,0.04,to_be_identified
M_rg_trv,dimensionless,0,Mynard_2012
M_rg_puv,dimensionless,0,Mynard_2012
M_rg_miv,dimensionless,0,Mynard_2012
M_rg_aov,dimensionless,0,Mynard_2012
M_st_trv,dimensionless,1,Mynard_2012
M_st_puv,dimensionless,1,Mynard_2012
M_st_miv,dimensionless,1,Mynard_2012
M_st_aov,dimensionless,1,Mynard_2012
l_eff,metre,0.01,to_be_identified
A_nn_trv,m2,0.0009,to_be_identified
A_nn_puv,m2,0.0004,to_be_identified
A_nn_miv,m2,0.0006,to_be_identified
A_nn_aov,m2,0.000314,defined_by_user_from_BB128
R_aortic_root,Js_per_m6,1.0e6,to_be_identified
C_aortic_root,m6_per_J,1.6090063907e-05,09_06_2024_identified
u_ext_aortic_root,J_per_m3,0,user_defined
I_aortic_root,Js2_per_m6,1.0e+4,to_be_identified
R_ascending_aorta,Js_per_m6,1.33E-02,ADAN_86
C_ascending_aorta,m6_per_J,0.60015e-8,user_defined
u_ext_ascending_aorta,J_per_m3,0,user_defined
I_ascending_aorta,Js2_per_m6,1.00E-06,user_defined
R_T_ub_T,Js_per_m6,1.10e8,calculated_from_mean_P_and_v
C_T_ub_T,m6_per_J,1e-7,calculated_from_approx_P_and_q
I_T_ub_T,Js2_per_m6,1.00E-06,defined_by_user
u_ext_ub_T,J_per_m3,0,user_defined
R_local_multiplier_ub_T,dimensionless,1,assumed_for_no_local_control
R_T_lb_T,Js_per_m6,1.10e8,calculated_from_mean_P_and_v
C_T_lb_T,m6_per_J,1e-7,calculated_from_approx_P_and_q
I_T_lb_T,Js2_per_m6,1.00E-06,defined_by_user
u_ext_lb_T,J_per_m3,0,user_defined
R_local_multiplier_lb_T,dimensionless,1,assumed_for_no_local_control
R_venous_svc,Js_per_m6,1114600,small_chosen
C_venous_svc,m6_per_J,1e-6,calculated_from_typical_venous_pressure_init_stressed_vol
u_ext_venous_svc,J_per_m3,0,user_defined
I_venous_svc,Js2_per_m6,1.0e-3,small_chosen
q_us_0_venous_svc,m3,0,user_defined
q_C_init_venous_svc,m3,1.3e-3,user_defined
R_venous_ivc,Js_per_m6,0.1e-6,small_chosen
C_venous_ivc,m6_per_J,5.0e-7,to_be_identified
u_ext_venous_ivc,J_per_m3,0,user_defined
I_venous_ivc,Js2_per_m6,0.1e-6,small_chosen
q_us_0_venous_ivc,m3,350e-6,user_defined_TO_BE_FOUND
q_C_init_venous_ivc,m3,0,user_defined
R_venous_lb,Js_per_m6,0.1e-6,small_chosen
C_venous_lb,m6_per_J,5.0e-7,to_be_identified
u_ext_venous_lb,J_per_m3,0,user_defined
I_venous_lb,Js2_per_m6,0.1e-6,small_chosen
q_us_0_venous_lb,m3,900e-6,user_defined_TO_BE_FOUND
q_C_init_venous_lb,m3,0,user_defined
R_venous_ub,Js_per_m6,0.1e-6,small_chosen
C_venous_ub,m6_per_J,5.0e-7,to_be_identified
u_ext_venous_ub,J_per_m3,0,user_defined
I_venous_ub,Js2_per_m6,0.1e-6,small_chosen
q_us_0_venous_ub,m3,900e-6,user_defined_TO_BE_FOUND
q_C_init_venous_ub,m3,0,user_defined
q_0_pulmonary_GE,m3,2.00E-03,user_defined
k_O2_pulmonary_GE,m6_per_Js,2.85E-10,Bizzotto2022
k_CO2_pulmonary_GE,m6_per_Js,8.20E-09,Bizzotto2022
shunt_fraction_pulmonary_GE,dimensionless,0.017,GuytonAndHall2006
k_1,J_per_m3,1998.5,Spencer1979
k_2,J_per_m3,25917.4,Spencer1979
h_1,dimensionless,0.3836,Spencer1979
h_2,dimensionless,1.819,Spencer1979
alpha_1,m3_per_J,2.40E-04,Spencer1979
alpha_2,m3_per_J,4.19E-04,Spencer1979
beta_1,m3_per_J,6.21E-05,Spencer1979
beta_2,m3_per_J,2.44E-05,Spencer1979
C_O2_sat,dimensionless,0.20448,Spencer1979
C_CO2_sat,dimensionless,1.9564,Spencer1979
F_O2_i_respiratory_gt,dimensionless,0.210379,WestPulmonaryPhysiology2008
F_CO2_i_respiratory_gt,dimensionless,0.000421,WestPulmonaryPhysiology2008
K_LOSSES_respiratory_gt,dimensionless,1.2103,WestPulmonaryPhysiology2008
P_atm,J_per_m3,101300,known
P_ws,J_per_m3,6266.15,WestPulmonaryPhysiology2008
P_mus_min_lung,J_per_m3,-490,Albanese2016
P_plEE_lung,J_per_m3,-490,WestPulmonaryPhysiology2008
q_l_us_lung,m3,3.44E-05,YasuhiroFukui1972
q_t_us_lung,m3,6.63E-06,YasuhiroFukui1972
q_b_us_lung,m3,1.87E-05,YasuhiroFukui1972
q_A_us_lung,m3,1.26E-06,Bizotto2022
R_ml_lung,Js_per_m6,100058,Rideout1991
R_lt_lung,Js_per_m6,33016,Rideout1991
R_tb_lung,Js_per_m6,30017,Rideout1991
R_bA_lung,Js_per_m6,8006,Rideout1991
R_plwall_lung,Js_per_m6,1.00E+04,Rideout1991
C_l_lung,m6_per_J,1.30E-08,YasuhiroFukui1972
C_t_lung,m6_per_J,2.43E-08,YasuhiroFukui1972
C_b_lung,m6_per_J,1.34E-06,YasuhiroFukui1972
C_A_lung,m6_per_J,2.04E-06,YasuhiroFukui1972
C_pl_lung,m6_per_J,2.50E-06,user_defined_to_be_identified
T_resp_lung,second,5,WestPulmonaryPhysiology2008
IE_ratio_lung,dimensionless,0.6,Bizotto2022
P_m,J_per_m3,0,known
